epsilon,run,private_count,private_mean,error_count,error_mean
0.1,1,173.5456,31.2368,13.54556371894816,1.6767608769362425
0.1,2,169.2497,28.3982,9.249686920367793,1.1618426113642926
0.1,3,169.9331,24.0666,9.933073887879772,5.493440740198302
0.1,4,175.589,29.8601,15.5890313822527,0.30007350695695223
0.1,5,170.0675,29.2593,10.06750429105574,0.3006659913376559
0.1,6,163.3849,29.7228,3.3849182116014447,0.16275190019647212
0.1,7,166.2209,24.1228,6.220906544269752,5.437234431274149
0.1,8,138.8559,27.4456,21.144126197339517,2.114405692960542
0.1,9,148.5772,33.6427,11.42284089323789,4.082665129327356
0.1,10,151.7544,38.6529,8.24559734444179,9.09286688662245
0.1,11,156.0517,26.5301,3.9483443912032783,3.02986119820509
0.1,12,168.6607,30.7056,8.660659170344019,1.1456070743447206
0.1,13,159.9638,29.9121,0.036150936777659126,0.352053355667028
0.1,14,165.7697,27.2102,5.76971759169021,2.349809928834297
0.1,15,209.1548,38.5225,49.154840514877606,8.962478391990448
0.1,16,163.5761,26.8043,3.576059095726123,2.7557432943476314
0.1,17,164.47,23.7544,4.470006147154237,5.805570267197151
0.1,18,132.0811,27.5714,27.918938013360872,1.9886351513360836
0.1,19,159.223,33.5616,0.7769572439286776,4.001618233892689
0.1,20,166.0576,31.5532,6.057557982579425,1.99317217256813
0.1,21,158.3864,28.4549,1.6135881575337976,1.1050716714867015
0.1,22,157.017,40.6628,2.9830155883438465,11.102750132869676
0.1,23,134.77,33.5335,25.230025780934312,3.9734874335873833
0.1,24,161.712,29.167,1.7120456079271662,0.392955322755963
0.1,25,165.9877,29.4789,5.987743869289261,0.08107199471548299
0.1,26,173.7376,34.4094,13.737591607078201,4.849443897181285
0.1,27,158.2974,27.7864,1.7026431387498064,1.7736373685512419
0.1,28,162.042,34.7842,2.0419994138096342,5.224226276890956
0.1,29,151.3565,30.4068,8.643522478892663,0.8468228314188906
0.1,30,163.0533,31.4433,3.0533081966559905,1.8833485037007307
0.1,31,146.6491,31.2551,13.350866634284586,1.695053185701493
0.1,32,177.0411,26.4898,17.041060257292997,3.070239915962464
0.1,33,152.5574,38.1431,7.4425807085201825,8.583089574904694
0.1,34,149.8376,33.2609,10.162384083606554,3.7009277615901404
0.1,35,159.8444,27.4471,0.15564792462396326,2.1128540256733856
0.1,36,173.5286,29.2125,13.52858821184904,0.3475442553755066
0.1,37,160.3008,28.5681,0.3008268854117375,0.9919076012675241
0.1,38,162.0567,26.2071,2.0567416212513194,3.352947327146797
0.1,39,157.5431,37.942,2.4569202654072626,8.382032583783595
0.1,40,153.3887,30.6883,6.611314661804585,1.1283306118714727
0.1,41,155.698,31.9352,4.30198274029874,2.3752335304416583
0.1,42,146.5962,37.9824,13.403756625724867,8.42238982159336
0.1,43,159.0303,27.3083,0.9697457309469826,2.251687465545661
0.1,44,140.8263,26.3193,19.17366947196072,3.240704292206761
0.1,45,160.4035,28.3765,0.4035116486963659,1.1835472275063772
0.1,46,170.7226,29.1137,10.72262703562211,0.44628302507364026
0.1,47,153.017,30.3609,6.983033604873697,0.8008552080405664
0.1,48,165.3368,26.2709,5.336754263993981,3.289090115916977
0.1,49,149.0709,21.7222,10.929132612884473,7.837830612792654
0.1,50,166.4018,30.7507,6.401829402298887,1.1907460337614602
0.5,1,159.8959,30.2595,0.10414140034748698,0.6995071860697237
0.5,2,161.8901,29.6723,1.890102281218816,0.1123102998455856
0.5,3,162.6677,29.0275,2.6677268919381163,0.5325018311611416
0.5,4,157.0063,29.1897,2.9936543374687403,0.3702683606666568
0.5,5,155.6599,29.5986,4.3400683986771185,0.038620117364398965
0.5,6,164.1305,28.0346,4.130468049684055,1.5253657726618286
0.5,7,157.1806,29.4997,2.8193730495568445,0.0602914124671301
0.5,8,164.0461,29.285,4.046122946632096,0.2750232022341912
0.5,9,160.0292,28.0677,0.029150646422806403,1.4922963424506825
0.5,10,157.5698,31.733,2.4301591675934446,2.1729623423840643
